Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Company_ID,Company,Company_real,Computation,Appearance
Psion Organiser II LZ 64,1989-01-01,1989.0,1,0.0,0.0,0.0,0.050359712,0.0,0.0,0.369713506,0.118852459,0.146889031,0.059332377,0.044181034,0.0,other,other,other,0.0,0.09866601487500001
Hewlett-Packard 95LX (HP Jaguar),1991-04-01,1991.25,2,0.00021363,1.54e-05,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529,other,other,other,0.008312894,0.14231430224999997
Psion Series 3,1991-06-01,1991.416667,3,9.16e-05,1.54e-05,0.001894864,0.18705036,0.056910569,0.023809524,0.432469304,0.147540984,0.101988454,0.056634477,0.044181034,0.035335689,other,other,other,0.00933438825,0.13132308825
Hewlett-Packard 95LX 1MB RAM (HP Jaguar),1992-01-01,1992.0,4,0.000457778,1.54e-05,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529,other,other,other,0.008373931,0.14231430224999997
Psion Series 3a,1993-03-01,1993.166667,5,0.00021363,1.54e-05,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,other,other,other,0.033399857500000005,0.15774073
Hewlett-Packard 1000CX,1993-05-01,1993.333333,6,0.000457778,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,other,other,other,0.057215048750000004,0.17308998137500003
Hewlett-Packard 100LX (HP Cougar),1993-05-01,1993.333333,7,0.000457778,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,other,other,other,0.057215048750000004,0.17308998137500003
Apple Newton H1000 (Apple OMP),1993-08-01,1993.583333,8,0.000274667,6.45e-05,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162,other,other,other,0.024619785249999998,0.192900908
Apple Newton MessagePad 100,1993-08-01,1993.583333,9,0.000274667,6.45e-05,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162,other,other,other,0.024619785249999998,0.192900908
Hewlett-Packard 1000CX 2MB RAM,1994-01-01,1994.0,10,0.000946074,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,other,other,other,0.057337122750000004,0.17308998137500003
Hewlett-Packard 100LX 2MB RAM (HP Cougar),1994-02-01,1994.083333,11,0.000946074,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,other,other,other,0.057337122750000004,0.17308998137500003
Apple Newton MessagePad 110 (Apple Lindy),1994-03-01,1994.166667,12,0.000457778,6.45e-05,0.009548354,0.201438849,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.112198276,0.110802625,other,other,other,0.03021831425,0.21016746225000002
Apple Newton MessagePad 120,1994-10-01,1994.75,13,0.000946074,6.45e-05,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305,other,other,other,0.02806880825,0.20854441775000002
